deal_rk,loan_holiday_type_cd,loan_holiday_start_date,loan_holiday_finish_date,loan_holiday_fact_finish_date,loan_holiday_finish_flg,loan_holiday_last_possible_date,effective_from_date,effective_to_date
3441823,2,2023-01-01,,,False,2018-10-14,2023-01-01,2999-12-31
2134597,1,2023-01-01,,,False,2019-12-20,2023-01-01,2999-12-31
8864536,8,2023-01-01,,,False,2018-06-19,2023-01-01,2999-12-31
6193769,5,2023-01-01,,,False,2018-11-29,2023-01-01,2999-12-31
8999589,8,2023-01-01,,,False,2018-12-17,2023-01-01,2999-12-31
2167169,1,2023-01-01,,,False,2018-05-16,2023-01-01,2999-12-31
8425286,8,2023-01-01,,,False,2018-02-18,2023-01-01,2999-12-31
8043124,8,2023-01-01,,,False,2018-08-26,2023-01-01,2999-12-31
5982323,4,2023-01-01,,,False,2018-11-10,2023-01-01,2999-12-31
2108135,1,2023-01-01,,,False,2018-06-27,2023-01-01,2999-12-31
8195540,8,2023-01-01,,,False,2018-03-12,2023-01-01,2999-12-31
7925720,7,2023-01-01,,,False,2018-04-28,2023-01-01,2999-12-31
6134225,5,2023-01-01,,,False,2019-11-06,2023-01-01,2999-12-31
6769355,5,2023-01-01,,,False,2019-07-18,2023-01-01,2999-12-31
5026837,4,2023-01-01,,,False,2019-07-13,2023-01-01,2999-12-31
3794781,2,2023-01-01,,,False,2018-12-24,2023-01-01,2999-12-31
6738440,5,2023-01-01,,,False,2019-09-18,2023-01-01,2999-12-31
2243882,1,2023-01-01,,,False,2019-08-30,2023-01-01,2999-12-31
2508568,1,2023-01-01,,,False,2018-05-25,2023-01-01,2999-12-31
3026843,2,2023-01-01,,,False,2018-02-09,2023-01-01,2999-12-31
3022196,2,2023-01-01,,,False,2019-06-25,2023-01-01,2999-12-31
7695844,7,2023-01-01,,,False,2019-08-31,2023-01-01,2999-12-31
8179019,8,2023-01-01,,,False,2018-03-14,2023-01-01,2999-12-31
4201438,3,2023-01-01,,,False,2018-06-29,2023-01-01,2999-12-31
4209869,3,2023-01-01,,,False,2018-03-18,2023-01-01,2999-12-31
7284941,7,2023-01-01,,,False,2019-05-10,2023-01-01,2999-12-31
3918690,2,2023-01-01,,,False,2019-04-10,2023-01-01,2999-12-31
3397202,2,2023-01-01,,,False,2019-02-18,2023-01-01,2999-12-31
7646690,7,2023-01-01,,,False,2018-09-05,2023-01-01,2999-12-31
3955903,2,2023-01-01,,,False,2019-02-10,2023-01-01,2999-12-31
2347432,1,2023-01-01,,,False,2019-05-29,2023-01-01,2999-12-31
8152511,8,2023-01-01,,,False,2019-10-24,2023-01-01,2999-12-31
6067914,5,2023-01-01,,,False,2018-03-10,2023-01-01,2999-12-31
4030665,3,2023-01-01,,,False,2019-05-14,2023-01-01,2999-12-31
7430579,7,2023-01-01,,,False,2019-12-24,2023-01-01,2999-12-31
3708325,2,2023-01-01,,,False,2018-04-14,2023-01-01,2999-12-31
6565851,5,2023-01-01,,,False,2019-04-20,2023-01-01,2999-12-31
4893257,3,2023-01-01,,,False,2019-03-24,2023-01-01,2999-12-31
6562992,5,2023-01-01,,,False,2018-11-05,2023-01-01,2999-12-31
5721464,4,2023-01-01,,,False,2019-03-11,2023-01-01,2999-12-31
2479686,1,2023-01-01,,,False,2019-09-13,2023-01-01,2999-12-31
3880495,2,2023-01-01,,,False,2019-08-16,2023-01-01,2999-12-31
7163265,7,2023-01-01,,,False,2018-06-11,2023-01-01,2999-12-31
6689365,5,2023-01-01,,,False,2019-12-26,2023-01-01,2999-12-31
4092854,3,2023-01-01,,,False,2019-05-03,2023-01-01,2999-12-31
8881066,8,2023-01-01,,,False,2019-12-14,2023-01-01,2999-12-31
4256740,3,2023-01-01,,,False,2018-03-29,2023-01-01,2999-12-31
6808851,5,2023-01-01,,,False,2018-12-31,2023-01-01,2999-12-31
4496220,3,2023-01-01,,,False,2019-10-26,2023-01-01,2999-12-31
8889194,8,2023-01-01,,,False,2019-10-31,2023-01-01,2999-12-31
7615442,7,2023-01-01,,,False,2018-07-10,2023-01-01,2999-12-31
5655637,4,2023-01-01,,,False,2019-06-18,2023-01-01,2999-12-31
4519353,3,2023-01-01,,,False,2018-02-05,2023-01-01,2999-12-31
8541844,8,2023-01-01,,,False,2019-04-14,2023-01-01,2999-12-31
4617012,3,2023-01-01,,,False,2018-06-01,2023-01-01,2999-12-31
6816581,5,2023-01-01,,,False,2018-10-29,2023-01-01,2999-12-31
2595706,1,2023-01-01,,,False,2019-05-11,2023-01-01,2999-12-31
6954219,5,2023-01-01,,,False,2019-01-09,2023-01-01,2999-12-31
2448157,1,2023-01-01,,,False,2018-08-14,2023-01-01,2999-12-31
5463152,4,2023-01-01,,,False,2019-07-25,2023-01-01,2999-12-31
5023830,4,2023-01-01,,,False,2019-10-06,2023-01-01,2999-12-31
7991950,7,2023-01-01,,,False,2019-01-25,2023-01-01,2999-12-31
7837018,7,2023-01-01,,,False,2019-07-14,2023-01-01,2999-12-31
3998625,2,2023-01-01,,,False,2019-03-28,2023-01-01,2999-12-31
6594216,5,2023-01-01,,,False,2019-06-25,2023-01-01,2999-12-31
2042684,1,2023-01-01,,,False,2019-08-06,2023-01-01,2999-12-31
6349056,5,2023-01-01,,,False,2018-02-20,2023-01-01,2999-12-31
5908218,4,2023-01-01,,,False,2018-05-01,2023-01-01,2999-12-31
5433705,4,2023-01-01,,,False,2019-06-08,2023-01-01,2999-12-31
5405294,4,2023-01-01,,,False,2018-09-13,2023-01-01,2999-12-31
6450033,5,2023-01-01,,,False,2019-04-30,2023-01-01,2999-12-31
4641554,3,2023-01-01,,,False,2018-05-26,2023-01-01,2999-12-31
4885006,3,2023-01-01,,,False,2018-07-21,2023-01-01,2999-12-31
6089541,5,2023-01-01,,,False,2019-11-02,2023-01-01,2999-12-31
2824457,1,2023-01-01,,,False,2019-10-09,2023-01-01,2999-12-31
3219429,2,2023-01-01,,,False,2018-11-19,2023-01-01,2999-12-31
7843362,7,2023-01-01,,,False,2019-01-06,2023-01-01,2999-12-31
3360010,2,2023-01-01,,,False,2018-07-18,2023-01-01,2999-12-31
4282051,3,2023-01-01,,,False,2019-04-20,2023-01-01,2999-12-31
8472291,8,2023-01-01,,,False,2019-04-24,2023-01-01,2999-12-31
8857075,8,2023-01-01,,,False,2018-10-27,2023-01-01,2999-12-31
5426751,4,2023-01-01,,,False,2019-04-02,2023-01-01,2999-12-31
4673135,3,2023-01-01,,,False,2018-03-29,2023-01-01,2999-12-31
7450203,7,2023-01-01,,,False,2019-12-02,2023-01-01,2999-12-31
4812600,3,2023-01-01,,,False,2018-07-30,2023-01-01,2999-12-31
3937492,2,2023-01-01,,,False,2019-05-29,2023-01-01,2999-12-31
7872178,7,2023-01-01,,,False,2018-08-15,2023-01-01,2999-12-31
7536163,7,2023-01-01,,,False,2018-10-23,2023-01-01,2999-12-31
5966692,4,2023-01-01,,,False,2018-08-07,2023-01-01,2999-12-31
6286161,5,2023-01-01,,,False,2018-12-14,2023-01-01,2999-12-31
2527555,1,2023-01-01,,,False,2018-07-07,2023-01-01,2999-12-31
7466611,7,2023-01-01,,,False,2019-12-05,2023-01-01,2999-12-31
3813528,2,2023-01-01,,,False,2018-08-25,2023-01-01,2999-12-31
4633827,3,2023-01-01,,,False,2018-10-25,2023-01-01,2999-12-31
8835864,8,2023-01-01,,,False,2018-06-03,2023-01-01,2999-12-31
8281578,8,2023-01-01,,,False,2018-08-02,2023-01-01,2999-12-31
6299773,5,2023-01-01,,,False,2019-03-06,2023-01-01,2999-12-31
6127285,5,2023-01-01,,,False,2018-09-16,2023-01-01,2999-12-31
2282663,1,2023-01-01,,,False,2019-12-14,2023-01-01,2999-12-31
2027473,1,2023-01-01,,,False,2018-05-28,2023-01-01,2999-12-31
7116801,7,2023-01-01,,,False,2018-11-16,2023-01-01,2999-12-31
5741023,4,2023-01-01,,,False,2020-01-12,2023-01-01,2999-12-31
7095325,7,2023-01-01,,,False,2018-02-24,2023-01-01,2999-12-31
7361254,7,2023-01-01,,,False,2019-08-23,2023-01-01,2999-12-31
6046450,5,2023-01-01,,,False,2019-06-01,2023-01-01,2999-12-31
3464129,2,2023-01-01,,,False,2019-05-23,2023-01-01,2999-12-31
2017266,1,2023-01-01,,,False,2018-03-13,2023-01-01,2999-12-31
2314704,1,2023-01-01,,,False,2019-05-05,2023-01-01,2999-12-31
4745947,3,2023-01-01,,,False,2018-04-23,2023-01-01,2999-12-31
4094098,3,2023-01-01,,,False,2019-10-31,2023-01-01,2999-12-31
7163066,7,2023-01-01,,,False,2018-06-25,2023-01-01,2999-12-31
2171272,1,2023-01-01,,,False,2018-09-06,2023-01-01,2999-12-31
3942370,2,2023-01-01,,,False,2018-05-17,2023-01-01,2999-12-31
2553691,1,2023-01-01,,,False,2019-06-01,2023-01-01,2999-12-31
4079027,3,2023-01-01,,,False,2018-12-03,2023-01-01,2999-12-31
2640845,1,2023-01-01,,,False,2019-11-05,2023-01-01,2999-12-31
6590081,5,2023-01-01,,,False,2018-12-21,2023-01-01,2999-12-31
2069034,1,2023-01-01,,,False,2018-04-09,2023-01-01,2999-12-31
6767230,5,2023-01-01,,,False,2019-12-12,2023-01-01,2999-12-31
7253178,7,2023-01-01,,,False,2018-06-22,2023-01-01,2999-12-31
5885875,4,2023-01-01,,,False,2019-03-18,2023-01-01,2999-12-31
8844819,8,2023-01-01,,,False,2018-10-11,2023-01-01,2999-12-31
6943171,5,2023-01-01,,,False,2019-06-16,2023-01-01,2999-12-31
7783187,7,2023-01-01,,,False,2019-04-16,2023-01-01,2999-12-31
6619483,5,2023-01-01,,,False,2018-03-28,2023-01-01,2999-12-31
3504797,2,2023-01-01,,,False,2019-11-29,2023-01-01,2999-12-31
3794200,2,2023-01-01,,,False,2018-02-02,2023-01-01,2999-12-31
4990997,3,2023-01-01,,,False,2019-11-27,2023-01-01,2999-12-31
6882892,5,2023-01-01,,,False,2019-10-29,2023-01-01,2999-12-31
5062671,4,2023-01-01,,,False,2019-06-23,2023-01-01,2999-12-31
4318790,3,2023-01-01,,,False,2019-12-14,2023-01-01,2999-12-31
8249583,8,2023-01-01,,,False,2019-10-11,2023-01-01,2999-12-31
8229210,8,2023-01-01,,,False,2019-03-27,2023-01-01,2999-12-31
3527633,2,2023-01-01,,,False,2018-06-15,2023-01-01,2999-12-31
3808155,2,2023-01-01,,,False,2018-12-04,2023-01-01,2999-12-31
8003952,8,2023-01-01,,,False,2018-09-07,2023-01-01,2999-12-31
3702415,2,2023-01-01,,,False,2018-02-02,2023-01-01,2999-12-31
2034385,1,2023-01-01,,,False,2019-11-13,2023-01-01,2999-12-31
2650322,1,2023-01-01,,,False,2019-03-22,2023-01-01,2999-12-31
4255607,3,2023-01-01,,,False,2020-01-05,2023-01-01,2999-12-31
5607916,4,2023-01-01,,,False,2018-05-30,2023-01-01,2999-12-31
4191741,3,2023-01-01,,,False,2018-07-07,2023-01-01,2999-12-31
7604995,7,2023-01-01,,,False,2018-02-12,2023-01-01,2999-12-31
4168053,3,2023-01-01,,,False,2018-04-05,2023-01-01,2999-12-31
2330324,1,2023-01-01,,,False,2019-08-18,2023-01-01,2999-12-31
8151355,8,2023-01-01,,,False,2020-01-07,2023-01-01,2999-12-31
2933159,1,2023-01-01,,,False,2018-11-15,2023-01-01,2999-12-31
8282872,8,2023-01-01,,,False,2019-02-18,2023-01-01,2999-12-31
4023692,3,2023-01-01,,,False,2018-09-18,2023-01-01,2999-12-31
2962584,1,2023-01-01,,,False,2018-01-27,2023-01-01,2999-12-31
7334850,7,2023-01-01,,,False,2018-08-03,2023-01-01,2999-12-31
5561811,4,2023-01-01,,,False,2019-12-21,2023-01-01,2999-12-31
2492392,1,2023-01-01,,,False,2018-03-09,2023-01-01,2999-12-31
6337741,5,2023-01-01,,,False,2018-08-16,2023-01-01,2999-12-31
7397399,7,2023-01-01,,,False,2018-04-26,2023-01-01,2999-12-31
4713493,3,2023-01-01,,,False,2018-09-17,2023-01-01,2999-12-31
4247838,3,2023-01-01,,,False,2019-04-27,2023-01-01,2999-12-31
5018191,4,2023-01-01,,,False,2018-07-09,2023-01-01,2999-12-31
6303710,5,2023-01-01,,,False,2019-04-04,2023-01-01,2999-12-31
6393139,5,2023-01-01,,,False,2018-07-22,2023-01-01,2999-12-31
7972734,7,2023-01-01,,,False,2019-09-30,2023-01-01,2999-12-31
4317668,3,2023-01-01,,,False,2019-11-14,2023-01-01,2999-12-31
5189965,4,2023-01-01,,,False,2019-04-25,2023-01-01,2999-12-31
8811724,8,2023-01-01,,,False,2019-04-23,2023-01-01,2999-12-31
8538710,8,2023-01-01,,,False,2018-11-26,2023-01-01,2999-12-31
6632667,5,2023-01-01,,,False,2018-10-26,2023-01-01,2999-12-31
2325913,1,2023-01-01,,,False,2019-09-30,2023-01-01,2999-12-31
8828749,8,2023-01-01,,,False,2019-03-03,2023-01-01,2999-12-31
3426208,2,2023-01-01,,,False,2019-06-19,2023-01-01,2999-12-31
7399487,7,2023-01-01,,,False,2019-10-23,2023-01-01,2999-12-31
8897600,8,2023-01-01,,,False,2019-11-19,2023-01-01,2999-12-31
2633756,1,2023-01-01,,,False,2018-05-31,2023-01-01,2999-12-31
3420202,2,2023-01-01,,,False,2018-10-26,2023-01-01,2999-12-31
8653502,8,2023-01-01,,,False,2019-06-17,2023-01-01,2999-12-31
3219132,2,2023-01-01,,,False,2019-07-06,2023-01-01,2999-12-31
6121959,5,2023-01-01,,,False,2019-03-04,2023-01-01,2999-12-31
8351381,8,2023-01-01,,,False,2018-02-24,2023-01-01,2999-12-31
6167382,5,2023-01-01,,,False,2018-08-16,2023-01-01,2999-12-31
7936796,7,2023-01-01,,,False,2019-04-05,2023-01-01,2999-12-31
5091979,4,2023-01-01,,,False,2019-12-28,2023-01-01,2999-12-31
5521020,4,2023-01-01,,,False,2018-04-27,2023-01-01,2999-12-31
2049067,1,2023-01-01,,,False,2018-06-05,2023-01-01,2999-12-31
8995654,8,2023-01-01,,,False,2018-02-11,2023-01-01,2999-12-31
7936630,7,2023-01-01,,,False,2018-12-14,2023-01-01,2999-12-31
4739745,3,2023-01-01,,,False,2018-05-26,2023-01-01,2999-12-31
8862553,8,2023-01-01,,,False,2019-11-14,2023-01-01,2999-12-31
6975038,5,2023-01-01,,,False,2018-10-07,2023-01-01,2999-12-31
2310841,1,2023-01-01,,,False,2019-03-29,2023-01-01,2999-12-31
7545589,7,2023-01-01,,,False,2018-12-02,2023-01-01,2999-12-31
2528506,1,2023-01-01,,,False,2018-12-14,2023-01-01,2999-12-31
4844175,3,2023-01-01,,,False,2018-02-26,2023-01-01,2999-12-31
5836542,4,2023-01-01,,,False,2019-09-06,2023-01-01,2999-12-31
6539898,5,2023-01-01,,,False,2019-06-24,2023-01-01,2999-12-31
8529111,8,2023-01-01,,,False,2018-06-13,2023-01-01,2999-12-31
5788219,4,2023-01-01,,,False,2019-01-15,2023-01-01,2999-12-31
4311719,3,2023-01-01,,,False,2018-09-08,2023-01-01,2999-12-31
3507378,2,2023-01-01,,,False,2018-06-30,2023-01-01,2999-12-31
8464059,8,2023-01-01,,,False,2019-10-04,2023-01-01,2999-12-31
3620769,2,2023-01-01,,,False,2019-09-18,2023-01-01,2999-12-31
6620588,5,2023-01-01,,,False,2018-07-08,2023-01-01,2999-12-31
8691898,8,2023-01-01,,,False,2018-12-16,2023-01-01,2999-12-31
4816887,3,2023-01-01,,,False,2019-04-09,2023-01-01,2999-12-31
7417291,7,2023-01-01,,,False,2018-12-22,2023-01-01,2999-12-31
4940249,3,2023-01-01,,,False,2018-08-01,2023-01-01,2999-12-31
2450878,1,2023-01-01,,,False,2020-01-12,2023-01-01,2999-12-31
5925755,4,2023-01-01,,,False,2019-11-13,2023-01-01,2999-12-31
6868412,5,2023-01-01,,,False,2019-01-28,2023-01-01,2999-12-31
5400046,4,2023-01-01,,,False,2019-04-27,2023-01-01,2999-12-31
3325296,2,2023-01-01,,,False,2018-08-04,2023-01-01,2999-12-31
2882598,1,2023-01-01,,,False,2018-06-05,2023-01-01,2999-12-31
7448907,7,2023-01-01,,,False,2019-10-24,2023-01-01,2999-12-31
7818320,7,2023-01-01,,,False,2019-10-13,2023-01-01,2999-12-31
2284613,1,2023-01-01,,,False,2019-06-06,2023-01-01,2999-12-31
2956368,1,2023-01-01,,,False,2018-05-29,2023-01-01,2999-12-31
7305813,7,2023-01-01,,,False,2018-07-25,2023-01-01,2999-12-31
4055703,3,2023-01-01,,,False,2019-06-07,2023-01-01,2999-12-31
3142106,2,2023-01-01,,,False,2018-11-15,2023-01-01,2999-12-31
6625457,5,2023-01-01,,,False,2018-05-17,2023-01-01,2999-12-31
3068369,2,2023-01-01,,,False,2019-05-28,2023-01-01,2999-12-31
3938863,2,2023-01-01,,,False,2019-03-28,2023-01-01,2999-12-31
8652546,8,2023-01-01,,,False,2018-03-29,2023-01-01,2999-12-31
7034657,7,2023-01-01,,,False,2019-10-27,2023-01-01,2999-12-31
5633286,4,2023-01-01,,,False,2019-05-14,2023-01-01,2999-12-31
6791768,5,2023-01-01,,,False,2019-11-16,2023-01-01,2999-12-31
2236184,1,2023-01-01,,,False,2019-01-10,2023-01-01,2999-12-31
6028551,5,2023-01-01,,,False,2018-12-24,2023-01-01,2999-12-31
6850502,5,2023-01-01,,,False,2018-02-24,2023-01-01,2999-12-31
3396718,2,2023-01-01,,,False,2018-04-08,2023-01-01,2999-12-31
3161439,2,2023-01-01,,,False,2018-12-26,2023-01-01,2999-12-31
3128910,2,2023-01-01,,,False,2019-11-28,2023-01-01,2999-12-31
8979911,8,2023-01-01,,,False,2019-07-10,2023-01-01,2999-12-31
6040107,5,2023-01-01,,,False,2018-08-23,2023-01-01,2999-12-31
4043776,3,2023-01-01,,,False,2018-12-31,2023-01-01,2999-12-31
6517035,5,2023-01-01,,,False,2018-09-14,2023-01-01,2999-12-31
5091180,4,2023-01-01,,,False,2018-07-11,2023-01-01,2999-12-31
6729213,5,2023-01-01,,,False,2019-09-05,2023-01-01,2999-12-31
8763957,8,2023-01-01,,,False,2018-07-28,2023-01-01,2999-12-31
8134657,8,2023-01-01,,,False,2018-10-20,2023-01-01,2999-12-31
3267616,2,2023-01-01,,,False,2018-12-12,2023-01-01,2999-12-31
8354101,8,2023-01-01,,,False,2019-12-09,2023-01-01,2999-12-31
3692710,2,2023-01-01,,,False,2018-02-13,2023-01-01,2999-12-31
5144870,4,2023-01-01,,,False,2019-06-03,2023-01-01,2999-12-31
5926772,4,2023-01-01,,,False,2019-02-09,2023-01-01,2999-12-31
4804929,3,2023-01-01,,,False,2018-07-07,2023-01-01,2999-12-31
6138972,5,2023-01-01,,,False,2018-06-28,2023-01-01,2999-12-31
2949968,1,2023-01-01,,,False,2019-07-24,2023-01-01,2999-12-31
4312309,3,2023-01-01,,,False,2019-07-24,2023-01-01,2999-12-31
3855565,2,2023-01-01,,,False,2018-04-05,2023-01-01,2999-12-31
8616610,8,2023-01-01,,,False,2019-10-18,2023-01-01,2999-12-31
5212087,4,2023-01-01,,,False,2018-10-07,2023-01-01,2999-12-31
5867408,4,2023-01-01,,,False,2018-04-26,2023-01-01,2999-12-31
2564524,1,2023-01-01,,,False,2018-05-26,2023-01-01,2999-12-31
5850767,4,2023-01-01,,,False,2019-03-12,2023-01-01,2999-12-31
6000979,5,2023-01-01,,,False,2018-12-16,2023-01-01,2999-12-31
3571009,2,2023-01-01,,,False,2019-09-11,2023-01-01,2999-12-31
4457153,3,2023-01-01,,,False,2018-04-28,2023-01-01,2999-12-31
3404451,2,2023-01-01,,,False,2018-02-15,2023-01-01,2999-12-31
2404439,1,2023-01-01,,,False,2020-01-03,2023-01-01,2999-12-31
2158498,1,2023-01-01,,,False,2019-02-14,2023-01-01,2999-12-31
3202953,2,2023-01-01,,,False,2019-08-22,2023-01-01,2999-12-31
3691517,2,2023-01-01,,,False,2018-10-24,2023-01-01,2999-12-31
4729471,3,2023-01-01,,,False,2018-05-14,2023-01-01,2999-12-31
3726421,2,2023-01-01,,,False,2019-02-11,2023-01-01,2999-12-31
6875122,5,2023-01-01,,,False,2019-03-30,2023-01-01,2999-12-31
4103863,3,2023-01-01,,,False,2020-01-01,2023-01-01,2999-12-31
2368787,1,2023-01-01,,,False,2019-05-23,2023-01-01,2999-12-31
3423032,2,2023-01-01,,,False,2019-05-27,2023-01-01,2999-12-31
6026793,5,2023-01-01,,,False,2019-10-07,2023-01-01,2999-12-31
4785038,3,2023-01-01,,,False,2018-12-23,2023-01-01,2999-12-31
3905019,2,2023-01-01,,,False,2019-12-17,2023-01-01,2999-12-31
2329965,1,2023-01-01,,,False,2018-07-22,2023-01-01,2999-12-31
7005421,7,2023-01-01,,,False,2018-04-13,2023-01-01,2999-12-31
3625628,2,2023-01-01,,,False,2019-05-13,2023-01-01,2999-12-31
7504959,7,2023-01-01,,,False,2018-04-29,2023-01-01,2999-12-31
5735047,4,2023-01-01,,,False,2018-11-19,2023-01-01,2999-12-31
8989647,8,2023-01-01,,,False,2019-02-23,2023-01-01,2999-12-31
7625829,7,2023-01-01,,,False,2019-07-11,2023-01-01,2999-12-31
4266145,3,2023-01-01,,,False,2019-11-25,2023-01-01,2999-12-31
7418041,7,2023-01-01,,,False,2020-01-12,2023-01-01,2999-12-31
5931111,4,2023-01-01,,,False,2019-06-28,2023-01-01,2999-12-31
7896327,7,2023-01-01,,,False,2020-01-11,2023-01-01,2999-12-31
2351176,1,2023-01-01,,,False,2019-08-13,2023-01-01,2999-12-31
4302078,3,2023-01-01,,,False,2018-08-30,2023-01-01,2999-12-31
8153697,8,2023-01-01,,,False,2018-02-10,2023-01-01,2999-12-31
8817342,8,2023-01-01,,,False,2018-09-08,2023-01-01,2999-12-31
7340010,7,2023-01-01,,,False,2019-06-19,2023-01-01,2999-12-31
2223610,1,2023-01-01,,,False,2019-06-02,2023-01-01,2999-12-31
8281901,8,2023-01-01,,,False,2019-05-25,2023-01-01,2999-12-31
7622365,7,2023-01-01,,,False,2018-10-19,2023-01-01,2999-12-31
5050527,4,2023-01-01,,,False,2018-09-04,2023-01-01,2999-12-31
5243932,4,2023-01-01,,,False,2018-08-11,2023-01-01,2999-12-31
8780409,8,2023-01-01,,,False,2019-07-20,2023-01-01,2999-12-31
4853188,3,2023-01-01,,,False,2019-03-24,2023-01-01,2999-12-31
2235028,1,2023-01-01,,,False,2018-09-22,2023-01-01,2999-12-31
4878328,3,2023-01-01,,,False,2019-09-22,2023-01-01,2999-12-31
2203725,1,2023-01-01,,,False,2018-10-16,2023-01-01,2999-12-31
7581897,7,2023-01-01,,,False,2019-08-09,2023-01-01,2999-12-31
2210805,1,2023-01-01,,,False,2018-11-18,2023-01-01,2999-12-31
4630535,3,2023-01-01,,,False,2018-07-22,2023-01-01,2999-12-31
8411765,8,2023-01-01,,,False,2019-09-14,2023-01-01,2999-12-31
4226645,3,2023-01-01,,,False,2019-07-04,2023-01-01,2999-12-31
6086683,5,2023-01-01,,,False,2018-02-14,2023-01-01,2999-12-31
3279068,2,2023-01-01,,,False,2018-10-25,2023-01-01,2999-12-31
8007186,8,2023-01-01,,,False,2019-04-13,2023-01-01,2999-12-31
3699572,2,2023-01-01,,,False,2018-06-23,2023-01-01,2999-12-31
2559103,1,2023-01-01,,,False,2018-09-03,2023-01-01,2999-12-31
3932647,2,2023-01-01,,,False,2018-05-12,2023-01-01,2999-12-31
5591620,4,2023-01-01,,,False,2019-10-07,2023-01-01,2999-12-31
2937949,1,2023-01-01,,,False,2019-09-07,2023-01-01,2999-12-31
7626561,7,2023-01-01,,,False,2019-11-09,2023-01-01,2999-12-31
8161051,8,2023-01-01,,,False,2018-03-25,2023-01-01,2999-12-31
7966583,7,2023-01-01,,,False,2019-11-18,2023-01-01,2999-12-31
