deal_rk,deal_num,deal_name,deal_sum,client_rk,account_rk,agreement_rk,deal_start_date,department_rk,product_rk,deal_type_cd,effective_from_date,effective_to_date
7244918,576-234-863-341-138,Ипотека,4873115.0,205637,3307771,782838,2022-01-06,81,1081706,5,2023-01-01,2999-12-31
8345514,694-265-328-278-385,Кредит наличными,938724.0,291697,3384452,619847,2021-07-10,26,1279892,4,2023-01-01,2999-12-31
3131676,796-749-990-929-323,Кредит наличными со страховкой,2512133.0,317698,3315535,772102,2021-01-11,80,1628288,6,2023-01-01,2999-12-31
2908927,929-226-111-374-162,Ипотека,1531661.0,449589,3756856,588066,2020-01-17,43,1722188,3,2023-01-01,2999-12-31
2523227,564-816-688-679-465,Кредит наличными со страховкой,2318174.0,280090,3557458,987213,2021-01-11,11,1594218,3,2023-01-01,2999-12-31
8202178,299-212-318-143-656,Кредит наличными со страховкой,859049.0,453827,3888614,531619,2022-01-06,56,1892158,4,2023-01-01,2999-12-31
4221147,179-290-628-831-575,Ипотека,1056204.0,194480,3332852,802356,2022-01-06,70,1650844,1,2023-01-01,2999-12-31
2552506,754-637-225-227-309,Кредит наличными,2669840.0,228604,3397848,803778,2021-01-11,89,1256656,3,2023-01-01,2999-12-31
5181555,348-876-591-704-749,Автокредит,959625.0,358802,3857909,587169,2020-07-15,18,1063062,2,2023-01-01,2999-12-31
3741361,325-245-768-703-496,Автокредит,4236687.0,495878,3605603,967979,2021-07-10,94,1186153,6,2023-01-01,2999-12-31
8994052,267-498-926-887-406,Автокредит,5211059.0,339084,3216937,823377,2020-01-17,104,1774773,4,2023-01-01,2999-12-31
7802949,957-865-244-926-693,Кредит наличными со страховкой,2100737.0,119135,3417504,834878,2021-01-11,90,1538892,5,2023-01-01,2999-12-31
3949493,832-222-256-290-858,Автокредит,580070.0,261400,3910255,553266,2021-01-11,24,1586118,6,2023-01-01,2999-12-31
7202728,354-229-202-273-909,Кредит наличными,1987769.0,353244,3668673,773528,2022-01-06,108,1227471,5,2023-01-01,2999-12-31
6645479,694-154-974-144-937,Автокредит,4714499.0,339986,3054927,717080,2020-07-15,65,1231822,8,2023-01-01,2999-12-31
4826852,520-181-768-435-817,Кредит наличными со страховкой,2291372.0,428086,3882145,892392,2020-07-15,128,1532718,1,2023-01-01,2999-12-31
8359556,259-369-444-127-709,Кредит наличными,4699159.0,105033,3224542,691921,2022-01-06,76,1155116,4,2023-01-01,2999-12-31
3441823,620-642-138-239-823,Автокредит,3761764.0,279276,3690033,662317,2021-01-11,82,1826133,6,2023-01-01,2999-12-31
2134597,111-222-400-509-518,Кредит наличными со страховкой,2164635.0,441785,3128618,918614,2020-01-17,80,1412645,3,2023-01-01,2999-12-31
8864536,703-448-686-763-112,Кредит наличными со страховкой,3120935.0,135700,3295101,591363,2021-07-10,90,1465364,4,2023-01-01,2999-12-31
6193769,635-914-781-351-676,Кредит наличными со страховкой,3792169.0,111509,3293622,888305,2020-07-15,115,1840293,8,2023-01-01,2999-12-31
8999589,327-781-750-648-663,Ипотека,2270845.0,185196,3739100,823002,2020-01-17,22,1115747,4,2023-01-01,2999-12-31
2167169,121-341-962-327-243,Автокредит,4481003.0,238781,3347241,813988,2020-07-15,60,1001514,3,2023-01-01,2999-12-31
8425286,507-978-844-314-334,Кредит наличными,2638190.0,200509,3939297,763883,2021-07-10,119,1233329,4,2023-01-01,2999-12-31
8043124,660-102-262-105-537,Автокредит,5031462.0,414751,3980374,506055,2020-07-15,67,1020663,4,2023-01-01,2999-12-31
5982323,899-845-500-372-807,Ипотека,2452935.0,125638,3967495,853859,2022-01-06,31,1305403,2,2023-01-01,2999-12-31
2108135,591-994-655-694-269,Кредит наличными со страховкой,5586479.0,459572,3098446,970091,2021-07-10,106,1497825,3,2023-01-01,2999-12-31
8195540,704-654-865-896-874,Кредит наличными,1196732.0,125536,3532651,902083,2022-01-06,114,1498060,4,2023-01-01,2999-12-31
7925720,922-127-376-319-852,Кредит наличными со страховкой,4900862.0,479942,3291655,925572,2020-01-17,112,1519273,5,2023-01-01,2999-12-31
6134225,782-594-500-547-413,Кредит наличными со страховкой,1395719.0,230990,3226536,589686,2021-07-10,104,1571873,8,2023-01-01,2999-12-31
6769355,294-757-967-384-804,Ипотека,3463051.0,353981,3273189,669826,2020-07-15,60,1894811,8,2023-01-01,2999-12-31
5026837,751-174-588-459-545,Кредит наличными со страховкой,1361127.0,119950,3467292,719249,2021-07-10,110,1318326,2,2023-01-01,2999-12-31
3794781,790-900-757-369-215,Кредит наличными,4492511.0,409032,3642293,669045,2020-07-15,94,1630746,6,2023-01-01,2999-12-31
6738440,553-189-544-650-385,Кредит наличными со страховкой,2390680.0,407746,3888842,733249,2020-01-17,28,1881077,8,2023-01-01,2999-12-31
2243882,511-112-860-371-619,Ипотека,2807260.0,331736,3604582,859432,2021-01-11,61,1025520,3,2023-01-01,2999-12-31
2508568,915-597-207-489-780,Кредит наличными,3957705.0,300503,3360465,974600,2021-01-11,40,1847996,3,2023-01-01,2999-12-31
3026843,626-497-267-492-982,Ипотека,5100757.0,161095,3949874,527838,2020-01-17,17,1772058,6,2023-01-01,2999-12-31
3022196,218-718-650-596-238,Кредит наличными,2554466.0,212448,3370987,595917,2021-01-11,22,1357180,6,2023-01-01,2999-12-31
7695844,751-295-983-614-102,Автокредит,986796.0,498882,3836157,861583,2020-07-15,25,1613706,5,2023-01-01,2999-12-31
8179019,176-833-735-745-104,Автокредит,2266171.0,134689,3326287,996194,2020-07-15,29,1439703,4,2023-01-01,2999-12-31
4201438,425-910-492-722-213,Автокредит,1794509.0,103147,3920112,966238,2022-01-06,48,1754036,1,2023-01-01,2999-12-31
4209869,702-611-702-388-988,Ипотека,4081937.0,427494,3163266,849305,2022-01-06,29,1624276,1,2023-01-01,2999-12-31
7284941,761-676-456-850-105,Кредит наличными со страховкой,4433406.0,409186,3971623,894875,2021-07-10,11,1660651,5,2023-01-01,2999-12-31
3918690,690-558-381-289-386,Кредит наличными со страховкой,2867486.0,116256,3041249,772646,2022-01-06,69,1396710,6,2023-01-01,2999-12-31
3397202,240-389-702-501-357,Автокредит,1460205.0,350705,3828520,747389,2021-07-10,106,1422391,6,2023-01-01,2999-12-31
7646690,494-335-363-823-587,Кредит наличными со страховкой,4425583.0,235722,3732573,838563,2020-07-15,39,1862567,5,2023-01-01,2999-12-31
3955903,725-234-962-639-421,Ипотека,1044000.0,115916,3097084,824726,2020-01-17,90,1843044,6,2023-01-01,2999-12-31
2347432,564-643-455-474-229,Кредит наличными,2210584.0,166597,3147394,566005,2020-07-15,125,1233113,3,2023-01-01,2999-12-31
8152511,221-958-831-970-776,Ипотека,573639.0,449457,3365974,794584,2021-07-10,32,1622355,4,2023-01-01,2999-12-31
6067914,500-401-400-794-625,Ипотека,4888381.0,230815,3361896,951177,2022-01-06,25,1930436,8,2023-01-01,2999-12-31
4030665,199-688-699-358-946,Ипотека,2522765.0,283307,3570239,587186,2022-01-06,41,1730556,1,2023-01-01,2999-12-31
7430579,606-667-945-154-719,Кредит наличными со страховкой,738487.0,107577,3136698,601429,2021-01-11,125,1510255,5,2023-01-01,2999-12-31
3708325,764-747-490-714-323,Кредит наличными со страховкой,2569221.0,213093,3604507,858416,2021-01-11,85,1851643,6,2023-01-01,2999-12-31
6565851,608-582-953-514-907,Кредит наличными со страховкой,3751314.0,438937,3413699,720615,2021-07-10,52,1824480,8,2023-01-01,2999-12-31
4893257,449-350-615-422-131,Ипотека,904022.0,170035,3659078,777796,2022-01-06,66,1251722,1,2023-01-01,2999-12-31
6562992,889-424-107-422-473,Автокредит,4155340.0,105356,3819940,669644,2022-01-06,81,1295269,8,2023-01-01,2999-12-31
5721464,570-567-922-541-148,Кредит наличными со страховкой,4268696.0,378469,3093234,501364,2021-07-10,81,1576512,2,2023-01-01,2999-12-31
2479686,827-931-806-286-641,Ипотека,1483088.0,231247,3938536,506772,2021-07-10,64,1384275,3,2023-01-01,2999-12-31
3880495,473-893-745-555-561,Автокредит,473130.0,103264,3173343,855513,2022-01-06,66,1692433,6,2023-01-01,2999-12-31
7163265,206-987-951-882-779,Ипотека,4845873.0,357202,3709929,639416,2021-07-10,110,1611536,5,2023-01-01,2999-12-31
6689365,789-858-612-708-339,Кредит наличными,2461175.0,297906,3259694,605994,2022-01-06,56,1092684,8,2023-01-01,2999-12-31
4092854,978-187-951-174-671,Кредит наличными со страховкой,2606034.0,136363,3276854,649360,2021-07-10,24,1360658,1,2023-01-01,2999-12-31
8881066,666-536-283-163-723,Автокредит,5643702.0,339248,3418946,533673,2020-01-17,29,1543284,4,2023-01-01,2999-12-31
4256740,272-578-389-863-569,Ипотека,5328464.0,188232,3429350,518890,2021-07-10,81,1090072,1,2023-01-01,2999-12-31
6808851,955-344-515-240-340,Ипотека,4232037.0,326418,3774310,578355,2021-07-10,121,1845732,8,2023-01-01,2999-12-31
4496220,224-812-146-185-558,Автокредит,686834.0,159661,3031250,983006,2022-01-06,68,1556606,1,2023-01-01,2999-12-31
2027473,170-689-151-888-364,Автокредит,5638275.0,352510,3941433,501333,2021-01-11,66,1607713,3,2023-01-01,2999-12-31
8889194,616-963-106-328-638,Кредит наличными со страховкой,2321070.0,183448,3772062,640251,2020-07-15,37,1960425,4,2023-01-01,2999-12-31
7615442,311-118-198-854-254,Автокредит,4355275.0,154977,3226053,825738,2021-07-10,57,1684525,5,2023-01-01,2999-12-31
5655637,782-197-203-330-823,Кредит наличными,1947756.0,472982,3740267,959645,2022-01-06,31,1187030,2,2023-01-01,2999-12-31
4519353,154-661-311-833-143,Ипотека,4700121.0,270994,3734075,876377,2020-07-15,64,1105709,1,2023-01-01,2999-12-31
8541844,566-937-612-656-502,Автокредит,2980543.0,158719,3975499,946704,2022-01-06,120,1336212,4,2023-01-01,2999-12-31
4617012,937-579-806-480-731,Кредит наличными,2315190.0,288568,3173945,535671,2021-01-11,129,1212871,1,2023-01-01,2999-12-31
6816581,738-593-144-944-157,Ипотека,2387041.0,457112,3230699,970202,2020-07-15,22,1896419,8,2023-01-01,2999-12-31
2595706,972-755-511-210-630,Автокредит,2489358.0,213273,3878057,990280,2021-07-10,44,1685934,3,2023-01-01,2999-12-31
6954219,751-133-987-212-319,Автокредит,4047409.0,223617,3058140,970725,2022-01-06,21,1462969,8,2023-01-01,2999-12-31
2448157,121-567-876-964-737,Ипотека,4511045.0,133063,3451629,739080,2020-01-17,114,1897611,3,2023-01-01,2999-12-31
5463152,360-838-444-107-713,Ипотека,5012887.0,154110,3915809,733496,2022-01-06,34,1014326,2,2023-01-01,2999-12-31
5023830,902-869-515-201-300,Ипотека,4856406.0,383282,3427533,755155,2021-01-11,24,1249387,2,2023-01-01,2999-12-31
7991950,522-324-288-182-379,Кредит наличными со страховкой,2741809.0,188671,3864814,836845,2021-07-10,63,1090279,5,2023-01-01,2999-12-31
7837018,253-522-542-116-560,Ипотека,4061553.0,492560,3859172,775145,2020-01-17,118,1808405,5,2023-01-01,2999-12-31
3998625,905-144-158-561-867,Автокредит,5627061.0,356719,3156079,803700,2021-01-11,37,1181907,6,2023-01-01,2999-12-31
6594216,814-924-111-348-896,Ипотека,1231875.0,453498,3655105,851435,2022-01-06,25,1448931,8,2023-01-01,2999-12-31
2042684,498-211-625-401-555,Кредит наличными,1418385.0,236130,3180320,710270,2022-01-06,98,1003337,3,2023-01-01,2999-12-31
6349056,953-319-296-151-267,Кредит наличными,4811745.0,235191,3215297,794457,2021-07-10,63,1835894,8,2023-01-01,2999-12-31
5908218,778-525-810-448-338,Ипотека,5526434.0,358691,3095264,834683,2020-01-17,50,1389050,2,2023-01-01,2999-12-31
5433705,192-349-360-698-889,Автокредит,2170669.0,248930,3854908,726969,2022-01-06,75,1405882,2,2023-01-01,2999-12-31
5405294,820-119-240-639-476,Кредит наличными,625372.0,320521,3184378,762197,2022-01-06,90,1795063,2,2023-01-01,2999-12-31
6450033,906-550-730-696-104,Автокредит,5086250.0,316382,3346263,704427,2020-01-17,83,1302853,8,2023-01-01,2999-12-31
4641554,892-719-133-481-934,Кредит наличными со страховкой,4349048.0,243439,3166195,954143,2021-01-11,12,1454300,1,2023-01-01,2999-12-31
4885006,813-116-180-226-450,Автокредит,4578544.0,188226,3890233,984105,2021-07-10,80,1441936,1,2023-01-01,2999-12-31
6089541,449-298-581-427-860,Кредит наличными со страховкой,1170791.0,490185,3096479,701102,2022-01-06,48,1650593,8,2023-01-01,2999-12-31
2824457,553-543-474-594-432,Ипотека,2862230.0,415803,3897462,967988,2021-07-10,108,1807479,3,2023-01-01,2999-12-31
3219429,669-151-545-796-380,Автокредит,3334110.0,248041,3523077,923799,2020-01-17,10,1685243,6,2023-01-01,2999-12-31
7843362,429-773-210-378-587,Кредит наличными со страховкой,577106.0,342703,3814580,835262,2020-07-15,127,1609811,5,2023-01-01,2999-12-31
3360010,435-191-883-612-167,Кредит наличными,2858181.0,444915,3279320,974313,2022-01-06,50,1619278,6,2023-01-01,2999-12-31
4282051,615-631-233-908-113,Ипотека,5260225.0,451380,3992888,527107,2020-01-17,51,1442691,1,2023-01-01,2999-12-31
8472291,118-934-402-556-811,Ипотека,3440904.0,186484,3119400,583890,2020-01-17,102,1855575,4,2023-01-01,2999-12-31
8857075,217-134-222-415-246,Кредит наличными со страховкой,1562862.0,110546,3573074,896361,2021-01-11,122,1156538,4,2023-01-01,2999-12-31
5426751,566-409-304-946-478,Ипотека,2868603.0,337855,3663001,600202,2021-07-10,50,1548209,2,2023-01-01,2999-12-31
4673135,755-368-272-723-862,Кредит наличными со страховкой,5340680.0,210111,3214897,744231,2020-01-17,67,1220059,1,2023-01-01,2999-12-31
7450203,697-539-386-950-191,Автокредит,2319728.0,483893,3494549,623421,2020-01-17,92,1219383,5,2023-01-01,2999-12-31
4812600,889-821-416-766-710,Кредит наличными,2605981.0,313630,3110493,946295,2021-01-11,53,1220747,1,2023-01-01,2999-12-31
3937492,335-177-313-419-473,Кредит наличными со страховкой,4517386.0,200585,3133144,815074,2021-01-11,64,1369473,6,2023-01-01,2999-12-31
7872178,379-254-232-182-353,Автокредит,2511222.0,462903,3864172,978549,2022-01-06,62,1304567,5,2023-01-01,2999-12-31
7536163,621-782-552-792-423,Кредит наличными,2570931.0,141796,3676961,599131,2020-01-17,44,1231622,5,2023-01-01,2999-12-31
5966692,391-571-202-193-272,Автокредит,4987468.0,311077,3333954,913996,2020-01-17,127,1324385,2,2023-01-01,2999-12-31
6286161,940-202-187-280-918,Ипотека,2909913.0,234377,3554158,760682,2022-01-06,50,1337979,8,2023-01-01,2999-12-31
2527555,390-545-867-217-959,Кредит наличными со страховкой,5686932.0,194974,3218149,542139,2021-01-11,107,1725398,3,2023-01-01,2999-12-31
7466611,151-356-513-155-966,Кредит наличными со страховкой,854883.0,114052,3506696,747139,2020-01-17,116,1136222,5,2023-01-01,2999-12-31
3813528,135-457-667-754-896,Кредит наличными со страховкой,4932207.0,448208,3421332,638871,2020-01-17,128,1408016,6,2023-01-01,2999-12-31
4633827,658-994-471-299-359,Автокредит,2350044.0,411913,3058061,809766,2022-01-06,79,1457614,1,2023-01-01,2999-12-31
8835864,288-487-558-496-978,Кредит наличными со страховкой,1967406.0,353703,3654890,938014,2020-01-17,36,1889479,4,2023-01-01,2999-12-31
8281578,503-404-133-783-400,Кредит наличными,4771568.0,304676,3415650,879668,2021-07-10,112,1003754,4,2023-01-01,2999-12-31
6299773,613-107-350-360-161,Кредит наличными,479222.0,464900,3874953,747756,2021-07-10,49,1274938,8,2023-01-01,2999-12-31
6127285,604-194-798-233-717,Ипотека,2741323.0,423217,3433606,590218,2020-07-15,61,1576396,8,2023-01-01,2999-12-31
2282663,285-200-217-648-811,Кредит наличными со страховкой,2580079.0,146202,3710268,779633,2022-01-06,78,1098456,3,2023-01-01,2999-12-31
7116801,733-485-512-766-915,Кредит наличными,1526005.0,117825,3465435,815173,2022-01-06,54,1904767,5,2023-01-01,2999-12-31
5741023,410-956-846-632-338,Автокредит,3981171.0,208395,3076623,996954,2021-01-11,34,1227605,2,2023-01-01,2999-12-31
7095325,201-299-493-817-636,Ипотека,1398034.0,353266,3218205,618545,2021-07-10,27,1527154,5,2023-01-01,2999-12-31
7361254,724-149-358-722-995,Автокредит,3737377.0,258447,3093941,683427,2020-01-17,39,1377876,5,2023-01-01,2999-12-31
6046450,413-499-453-141-429,Кредит наличными со страховкой,727046.0,127714,3667808,879557,2020-01-17,49,1055121,8,2023-01-01,2999-12-31
3464129,172-918-328-418-104,Автокредит,515831.0,323812,3643475,591265,2021-07-10,16,1546972,6,2023-01-01,2999-12-31
2017266,855-479-255-212-590,Ипотека,1334972.0,408478,3057773,840839,2021-01-11,14,1645420,3,2023-01-01,2999-12-31
2314704,930-317-640-165-989,Кредит наличными,3679717.0,498147,3885169,644243,2021-07-10,103,1386677,3,2023-01-01,2999-12-31
4745947,828-431-803-915-334,Кредит наличными со страховкой,3844701.0,393975,3786071,660346,2021-01-11,83,1732189,1,2023-01-01,2999-12-31
4094098,588-443-149-116-834,Кредит наличными,4192678.0,406718,3059319,967505,2021-01-11,111,1040074,1,2023-01-01,2999-12-31
7163066,358-776-247-244-233,Ипотека,2110877.0,318149,3468439,961899,2022-01-06,126,1055807,5,2023-01-01,2999-12-31
2171272,651-211-765-602-417,Кредит наличными,709077.0,496799,3483598,775744,2020-07-15,72,1103523,3,2023-01-01,2999-12-31
3942370,399-813-782-198-850,Ипотека,3252615.0,470671,3887513,767800,2020-07-15,91,1759501,6,2023-01-01,2999-12-31
2553691,668-447-634-174-402,Ипотека,4372461.0,167979,3812421,642528,2022-01-06,63,1636311,3,2023-01-01,2999-12-31
4079027,427-285-473-168-372,Кредит наличными со страховкой,968760.0,481675,3187864,773026,2021-01-11,78,1299873,1,2023-01-01,2999-12-31
2640845,516-325-492-687-161,Автокредит,4160115.0,452191,3336375,828607,2021-01-11,121,1856890,3,2023-01-01,2999-12-31
6590081,580-239-922-975-830,Автокредит,2662900.0,317815,3708304,731146,2020-07-15,51,1745721,8,2023-01-01,2999-12-31
2069034,847-926-561-653-673,Кредит наличными,1179144.0,102770,3375400,691676,2021-01-11,25,1090721,3,2023-01-01,2999-12-31
6767230,420-877-130-566-936,Автокредит,2019237.0,343684,3216601,679913,2021-07-10,23,1354778,8,2023-01-01,2999-12-31
7253178,794-579-848-602-382,Автокредит,5561948.0,215492,3018110,632066,2022-01-06,85,1522974,5,2023-01-01,2999-12-31
5885875,131-285-470-524-626,Автокредит,873279.0,336992,3050250,821584,2022-01-06,11,1307361,2,2023-01-01,2999-12-31
8844819,803-157-842-403-457,Кредит наличными,4454122.0,198235,3095694,663493,2020-01-17,39,1672806,4,2023-01-01,2999-12-31
6943171,436-647-582-132-938,Автокредит,2776118.0,419505,3579029,839693,2021-07-10,73,1023947,8,2023-01-01,2999-12-31
7783187,784-886-377-419-354,Автокредит,5327234.0,396546,3880638,607770,2021-07-10,30,1678306,5,2023-01-01,2999-12-31
6619483,702-523-834-557-344,Ипотека,3678322.0,496250,3358773,616161,2020-07-15,127,1345573,8,2023-01-01,2999-12-31
3504797,739-508-547-930-628,Автокредит,2832171.0,424486,3053875,534492,2021-01-11,111,1209152,6,2023-01-01,2999-12-31
3794200,155-670-682-259-891,Автокредит,1264282.0,479885,3516754,946352,2020-07-15,22,1079716,6,2023-01-01,2999-12-31
4990997,705-123-167-974-807,Кредит наличными,4620615.0,220821,3428222,810537,2021-01-11,76,1060428,1,2023-01-01,2999-12-31
6882892,467-762-621-453-344,Кредит наличными со страховкой,2255233.0,412241,3676148,773154,2021-07-10,107,1075953,8,2023-01-01,2999-12-31
5062671,284-861-685-221-837,Ипотека,3150589.0,445682,3918975,522775,2022-01-06,80,1877453,2,2023-01-01,2999-12-31
4318790,116-376-578-511-393,Кредит наличными,1615589.0,379199,3441206,750885,2020-07-15,123,1241068,1,2023-01-01,2999-12-31
8249583,715-252-888-606-614,Кредит наличными со страховкой,2364791.0,366814,3817292,761915,2021-01-11,76,1526436,4,2023-01-01,2999-12-31
8229210,964-819-654-306-336,Кредит наличными со страховкой,3905836.0,492925,3674545,752189,2021-01-11,32,1199068,4,2023-01-01,2999-12-31
3527633,115-396-367-481-327,Кредит наличными со страховкой,4682307.0,347679,3070396,510433,2021-01-11,81,1683714,6,2023-01-01,2999-12-31
3808155,409-967-751-113-253,Кредит наличными со страховкой,5563767.0,347431,3434436,948144,2021-07-10,60,1029675,6,2023-01-01,2999-12-31
8003952,698-322-938-607-747,Автокредит,4107061.0,158698,3677052,823806,2020-07-15,76,1018800,4,2023-01-01,2999-12-31
3702415,595-266-719-992-294,Автокредит,646688.0,348735,3131190,777358,2020-01-17,14,1302039,6,2023-01-01,2999-12-31
2034385,981-260-375-239-444,Ипотека,816377.0,202842,3622247,916686,2022-01-06,125,1543812,3,2023-01-01,2999-12-31
2650322,415-457-398-959-579,Кредит наличными,1159591.0,485980,3996319,614156,2022-01-06,18,1313882,3,2023-01-01,2999-12-31
4255607,443-374-443-698-469,Автокредит,3421329.0,439355,3515515,931111,2021-07-10,80,1088196,1,2023-01-01,2999-12-31
5607916,266-849-463-241-449,Кредит наличными со страховкой,498254.0,404647,3425834,744141,2020-07-15,47,1261502,2,2023-01-01,2999-12-31
4191741,467-831-220-261-405,Ипотека,606316.0,135367,3728011,769584,2022-01-06,89,1252286,1,2023-01-01,2999-12-31
7604995,236-263-245-332-944,Кредит наличными,1384178.0,429796,3821726,836895,2021-01-11,12,1553962,5,2023-01-01,2999-12-31
4168053,501-135-620-330-599,Автокредит,4139031.0,339239,3840849,763555,2021-07-10,130,1933735,1,2023-01-01,2999-12-31
2330324,695-139-290-737-521,Кредит наличными,2985289.0,424373,3481090,782138,2021-07-10,111,1874510,3,2023-01-01,2999-12-31
8151355,231-953-243-492-495,Ипотека,4560079.0,139002,3113147,744573,2021-01-11,110,1112054,4,2023-01-01,2999-12-31
2933159,716-312-981-519-899,Кредит наличными,5696820.0,441374,3844014,757816,2021-07-10,55,1807567,3,2023-01-01,2999-12-31
8282872,374-966-930-329-449,Кредит наличными со страховкой,1064521.0,155088,3425366,770379,2021-01-11,52,1241845,4,2023-01-01,2999-12-31
4023692,467-336-135-224-898,Кредит наличными,5490437.0,416207,3347285,504576,2021-01-11,119,1176710,1,2023-01-01,2999-12-31
2962584,277-221-911-350-860,Кредит наличными со страховкой,5690815.0,221587,3843524,571629,2021-01-11,115,1154118,3,2023-01-01,2999-12-31
7334850,360-151-793-978-407,Автокредит,1196046.0,247385,3955219,621195,2021-01-11,95,1280205,5,2023-01-01,2999-12-31
5561811,552-168-907-356-285,Кредит наличными со страховкой,4993709.0,151281,3461810,568838,2020-01-17,55,1699334,2,2023-01-01,2999-12-31
2492392,320-188-323-223-329,Ипотека,5096280.0,184657,3469494,591043,2021-07-10,38,1523803,3,2023-01-01,2999-12-31
6337741,129-362-501-243-427,Кредит наличными со страховкой,4244295.0,470019,3156061,573597,2020-07-15,56,1127427,8,2023-01-01,2999-12-31
7397399,235-533-503-555-772,Ипотека,2033136.0,285136,3796621,542806,2022-01-06,130,1555059,5,2023-01-01,2999-12-31
