"account_rk","currency_name","department_rk","effective_date","account_in_sum","account_out_sum"
2005911,RUB,112,2023-02-05,266172,296421
2005911,RUB,112,2023-02-06,296421,325079
2007248,RUB,97,2023-01-15,0,1070
2007248,RUB,97,2023-01-16,1070,40472
2007248,RUB,97,2023-01-17,40472,104023
2007248,RUB,97,2023-01-18,104023,139750
2007248,RUB,97,2023-01-19,139750,211070
2007248,RUB,97,2023-01-20,211070,263599
2007248,RUB,97,2023-01-21,263599,282968
2007248,RUB,97,2023-01-22,282968,306133
2007248,RUB,97,2023-01-23,306133,331243
2007248,RUB,97,2023-01-24,331243,399699
2007248,RUB,97,2023-01-25,399699,453680
2007248,RUB,97,2023-01-26,453680,501625
2007640,RUB,129,2023-01-22,0,29748
2007640,RUB,129,2023-01-23,29748,89850
2007640,RUB,129,2023-01-24,89850,132351
2007640,RUB,129,2023-01-25,132351,159004
2007640,RUB,129,2023-01-26,159004,162612
2007640,RUB,129,2023-01-27,162612,177291
2007640,RUB,129,2023-01-28,177291,184613
2007640,RUB,129,2023-01-29,184613,246380
2007640,RUB,129,2023-01-30,246380,268530
2007640,RUB,129,2023-01-31,268530,286204
2007640,RUB,129,2023-02-01,286204,292629
2007640,RUB,129,2023-02-02,292629,306531
2007640,RUB,129,2023-02-03,306531,307919
2007640,RUB,129,2023-02-04,307919,362793
2007640,RUB,129,2023-02-05,362793,398062
2008107,RUB,23,2023-01-17,0,65569
2008107,RUB,23,2023-01-18,65569,66176
2008107,RUB,23,2023-01-19,66176,99376
2008107,RUB,23,2023-01-20,99376,130232
2008107,RUB,23,2023-01-21,130232,176769
2008107,RUB,23,2023-01-22,176769,246090
2008107,RUB,23,2023-01-23,246090,300931
2008107,RUB,23,2023-01-24,300931,360832
2008107,RUB,23,2023-01-25,360832,421190
2008107,RUB,23,2023-01-26,421190,433751
2008107,RUB,23,2023-01-27,433751,499949
2008107,RUB,23,2023-01-28,499949,550846
2008107,RUB,23,2023-01-29,550846,594907
2008107,RUB,23,2023-01-30,594907,643702
2008107,RUB,23,2023-01-31,643702,686032
2008107,RUB,23,2023-02-01,686032,691801
2008107,RUB,23,2023-02-02,691801,729205
2008107,RUB,23,2023-02-03,729205,759081
2008311,RUB,101,2023-01-17,0,34966
2008311,RUB,101,2023-01-18,34966,41679
2008311,RUB,101,2023-01-19,41679,56494
2008311,RUB,101,2023-01-20,56494,120730
2008311,RUB,101,2023-01-21,120730,160231
2008311,RUB,101,2023-01-22,160231,224860
2008311,RUB,101,2023-01-23,224860,283124
2008311,RUB,101,2023-01-24,283124,301125
2008311,RUB,101,2023-01-25,301125,352137
2008311,RUB,101,2023-01-26,352137,379172
2008311,RUB,101,2023-01-27,379172,401855
2008311,RUB,101,2023-01-28,401855,412412
2008324,RUB,58,2023-01-15,0,74141
2008324,RUB,58,2023-01-16,74141,136548
2008324,RUB,58,2023-01-17,136548,191802
2008324,RUB,58,2023-01-18,191802,212551
2008324,RUB,58,2023-01-19,212551,212721
2008324,RUB,58,2023-01-20,212721,231433
2008324,RUB,58,2023-01-21,231433,296058
2008324,RUB,58,2023-01-22,296058,360972
2008324,RUB,58,2023-01-23,360972,405387
2008324,RUB,58,2023-01-24,405387,433907
2008324,RUB,58,2023-01-25,433907,434256
2008324,RUB,58,2023-01-26,434256,466387
2008324,RUB,58,2023-01-27,466387,540419
2008324,RUB,58,2023-01-28,540419,552570
2008324,RUB,58,2023-01-29,552570,589709
2009109,KZT,18,2023-01-11,0,30655
2009109,KZT,18,2023-01-12,30655,42487
2009109,KZT,18,2023-01-13,42487,85949
2009109,KZT,18,2023-01-14,85949,123762
2009109,KZT,18,2023-01-15,123762,151968
2009109,KZT,18,2023-01-16,151968,178215
2009109,KZT,18,2023-01-17,178215,194223
2009109,KZT,18,2023-01-18,194223,207965
2009109,KZT,18,2023-01-19,207965,219198
2010843,YEN,126,2023-01-16,0,43891
2010843,YEN,126,2023-01-17,43891,115121
2010843,YEN,126,2023-01-18,115121,136443
2010843,YEN,126,2023-01-19,136443,200417
2010843,YEN,126,2023-01-20,200417,215088
2010843,YEN,126,2023-01-21,215088,278631
2011080,RUB,55,2023-01-29,0,9575
2011080,RUB,55,2023-01-30,9575,62169
2011080,RUB,55,2023-01-31,62169,79088
2011080,RUB,55,2023-02-01,79088,106912
2011080,RUB,55,2023-02-02,106912,139036
2011080,RUB,55,2023-02-03,139036,158699
2011080,RUB,55,2023-02-04,158699,193006
2011080,RUB,55,2023-02-05,193006,243222
2011080,RUB,55,2023-02-06,243222,280033
2011509,RUB,63,2023-01-18,0,48500
2011509,RUB,63,2023-01-19,48500,121709
2011509,RUB,63,2023-01-20,121709,152543
2011509,RUB,63,2023-01-21,152543,221118
2011509,RUB,63,2023-01-22,221118,279336
2011509,RUB,63,2023-01-23,279336,301387
2011509,RUB,63,2023-01-24,301387,322027
2011509,RUB,63,2023-01-25,322027,358088
2011509,RUB,63,2023-01-26,358088,419376
2011509,RUB,63,2023-01-27,419376,472098
2011509,RUB,63,2023-01-28,472098,486331
2011509,RUB,63,2023-01-29,486331,536633
2011509,RUB,63,2023-01-30,536633,558760
2011509,RUB,63,2023-01-31,558760,596021
2011509,RUB,63,2023-02-01,596021,659804
2011509,RUB,63,2023-02-02,659804,718387
2011509,RUB,63,2023-02-03,718387,752213
2011509,RUB,63,2023-02-04,752213,783946
2011721,RUB,106,2023-01-28,0,58776
2011721,RUB,106,2023-01-29,58776,82774
2011721,RUB,106,2023-01-30,82774,155353
2013193,EUR,30,2023-01-21,0,15842
2013193,EUR,30,2023-01-22,15842,47389
2013193,EUR,30,2023-01-23,47389,68956
2013193,EUR,30,2023-01-24,68956,105173
2013193,EUR,30,2023-01-25,105173,145412
2013193,EUR,30,2023-01-26,145412,180406
2013193,EUR,30,2023-01-27,180406,192744
2013193,EUR,30,2023-01-28,192744,258442
2013193,EUR,30,2023-01-29,258442,326421
2013193,EUR,30,2023-01-30,326421,390295
2013193,EUR,30,2023-01-31,390295,419785
2013193,EUR,30,2023-02-01,419785,475569
2013863,RUB,90,2023-01-22,0,18911
2013863,RUB,90,2023-01-23,18911,77295
2013863,RUB,90,2023-01-24,77295,125330
2014261,RUB,123,2023-01-14,0,39620
2014261,RUB,123,2023-01-15,39620,42500
2014261,RUB,123,2023-01-16,42500,52799
2014261,RUB,123,2023-01-17,52799,85736
2014261,RUB,123,2023-01-18,85736,97720
2014261,RUB,123,2023-01-19,97720,135158
2014261,RUB,123,2023-01-20,135158,192949
2014261,RUB,123,2023-01-21,192949,217393
2014261,RUB,123,2023-01-22,217393,248483
2014261,RUB,123,2023-01-23,248483,259635
2014261,RUB,123,2023-01-24,259635,291360
2014261,RUB,123,2023-01-25,291360,365939
2014261,RUB,123,2023-01-26,365939,428689
2014261,RUB,123,2023-01-27,428689,454838
2014261,RUB,123,2023-01-28,454838,517701
2014770,RUB,111,2023-01-14,0,11275
2014770,RUB,111,2023-01-15,11275,76486
2014770,RUB,111,2023-01-16,76486,126997
2014770,RUB,111,2023-01-17,126997,192242
2014770,RUB,111,2023-01-18,192242,231240
2014770,RUB,111,2023-01-19,231240,252458
2014770,RUB,111,2023-01-20,252458,307322
2014770,RUB,111,2023-01-21,307322,377400
2014770,RUB,111,2023-01-22,377400,398924
2014770,RUB,111,2023-01-23,398924,457747
2014770,RUB,111,2023-01-24,457747,526352
2014770,RUB,111,2023-01-25,526352,534751
2014770,RUB,111,2023-01-26,534751,584438
2014770,RUB,111,2023-01-27,584438,624829
2014770,RUB,111,2023-01-28,624829,637814
2015256,EUR,84,2023-01-24,0,15977
2015256,EUR,84,2023-01-25,15977,34834
2015256,EUR,84,2023-01-26,34834,88560
2015256,EUR,84,2023-01-27,88560,123324
2015256,EUR,84,2023-01-28,123324,155994
2015256,EUR,84,2023-01-29,155994,160085
2015256,EUR,84,2023-01-30,160085,171033
2015256,EUR,84,2023-01-31,171033,199563
2015256,EUR,84,2023-02-01,199563,235866
2015256,EUR,84,2023-02-02,235866,251323
2015256,EUR,84,2023-02-03,251323,254126
2015256,EUR,84,2023-02-04,254126,300215
2015256,EUR,84,2023-02-05,300215,308457
2015256,EUR,84,2023-02-06,308457,339047
2015256,EUR,84,2023-02-07,339047,371302
2015256,EUR,84,2023-02-08,371302,425378
2015256,EUR,84,2023-02-09,425378,454618
2015256,EUR,84,2023-02-10,454618,475765
2015843,EUR,71,2023-01-22,0,55916
2015843,EUR,71,2023-01-23,55916,130221
2015843,EUR,71,2023-01-24,130221,133513
2017459,RUB,35,2023-01-08,0,40321
2017459,RUB,35,2023-01-09,40321,62872
2017459,RUB,35,2023-01-10,62872,134483
2017459,RUB,35,2023-01-11,134483,148934
2017459,RUB,35,2023-01-12,148934,163690
2017459,RUB,35,2023-01-13,163690,201220
2018536,KZT,16,2023-01-27,0,43318
2018536,KZT,16,2023-01-28,43318,105307
2018536,KZT,16,2023-01-29,105307,117150
2018536,KZT,16,2023-01-30,117150,179139
2018536,KZT,16,2023-01-31,179139,235658
2018536,KZT,16,2023-02-01,235658,295354
2018931,RUB,35,2023-01-13,0,65008
2018931,RUB,35,2023-01-14,65008,136847
2018931,RUB,35,2023-01-15,136847,175245
2019436,EUR,88,2023-01-28,0,50276
2019436,EUR,88,2023-01-29,50276,57691
2019436,EUR,88,2023-01-30,57691,118560
2019436,EUR,88,2023-01-31,118560,162379
2019436,EUR,88,2023-02-01,162379,162562
2019436,EUR,88,2023-02-02,162562,176676
2019436,EUR,88,2023-02-03,176676,200381
2019436,EUR,88,2023-02-04,200381,212123
2019436,EUR,88,2023-02-05,212123,273300
2019436,EUR,88,2023-02-06,273300,315668
2019436,EUR,88,2023-02-07,315668,350487
2019436,EUR,88,2023-02-08,350487,408818
2019436,EUR,88,2023-02-09,408818,438962
2019436,EUR,88,2023-02-10,438962,443420
2019436,EUR,88,2023-02-11,443420,502882
2019436,EUR,88,2023-02-12,502882,512322
2019436,EUR,88,2023-02-13,512322,575730
2019436,EUR,88,2023-02-14,575730,622981
2019685,RUB,106,2023-01-06,0,4771
2019685,RUB,106,2023-01-07,4771,79349
2019685,RUB,106,2023-01-08,79349,143285
2019685,RUB,106,2023-01-09,143285,183182
2019685,RUB,106,2023-01-10,183182,230381
2019685,RUB,106,2023-01-11,230381,243358
2019685,RUB,106,2023-01-12,243358,277717
2019685,RUB,106,2023-01-13,277717,323465
2019685,RUB,106,2023-01-14,323465,384441
2019685,RUB,106,2023-01-15,384441,451312
2019685,RUB,106,2023-01-16,451312,475527
2019685,RUB,106,2023-01-17,475527,479268
2019688,RUB,90,2023-01-15,0,7022
2019688,RUB,90,2023-01-16,7022,10683
2019688,RUB,90,2023-01-17,10683,44774
2019688,RUB,90,2023-01-18,44774,94875
2019688,RUB,90,2023-01-19,94875,133252
2019688,RUB,90,2023-01-20,133252,174803
2020198,USD,53,2023-01-30,0,54098
2020198,USD,53,2023-01-31,54098,85611
2020198,USD,53,2023-02-01,85611,143993
2020198,USD,53,2023-02-02,143993,188324
2020198,USD,53,2023-02-03,188324,203116
2020198,USD,53,2023-02-04,203116,217154
2020198,USD,53,2023-02-05,217154,290684
2020198,USD,53,2023-02-06,290684,333116
2020198,USD,53,2023-02-07,333116,341008
2020491,RUB,19,2023-01-30,0,27947
2020491,RUB,19,2023-01-31,27947,46673
2020491,RUB,19,2023-02-01,46673,72768
2020491,RUB,19,2023-02-02,72768,99891
2020491,RUB,19,2023-02-03,99891,150422
2020491,RUB,19,2023-02-04,150422,221889
2020491,RUB,19,2023-02-05,221889,271180
2020491,RUB,19,2023-02-06,271180,336143
2020491,RUB,19,2023-02-07,336143,391427
2021550,RUB,109,2023-01-19,0,33120
2021550,RUB,109,2023-01-20,33120,45914
2021550,RUB,109,2023-01-21,45914,72662
2022189,RUB,42,2023-01-26,0,24913
2022189,RUB,42,2023-01-27,24913,80347
2022189,RUB,42,2023-01-28,80347,139754
2022189,RUB,42,2023-01-29,139754,184301
2022189,RUB,42,2023-01-30,184301,257638
2022189,RUB,42,2023-01-31,257638,263684
2022189,RUB,42,2023-02-01,263684,318160
2022189,RUB,42,2023-02-02,318160,369389
2022189,RUB,42,2023-02-03,369389,428746
2022189,RUB,42,2023-02-04,428746,472710
2022189,RUB,42,2023-02-05,472710,501899
2022189,RUB,42,2023-02-06,501899,550230
2023789,YEN,129,2023-01-06,0,19315
2023789,YEN,129,2023-01-07,19315,88693
2023789,YEN,129,2023-01-08,88693,137492
2023789,YEN,129,2023-01-09,137492,173510
2023789,YEN,129,2023-01-10,173510,214189
2023789,YEN,129,2023-01-11,214189,257763
2023789,YEN,129,2023-01-12,257763,330350
2023789,YEN,129,2023-01-13,330350,388253
2023789,YEN,129,2023-01-14,388253,450869
2023789,YEN,129,2023-01-15,450869,486529
2023789,YEN,129,2023-01-16,486529,526625
2023789,YEN,129,2023-01-17,526625,535442
2023789,YEN,129,2023-01-18,535442,609286
2023789,YEN,129,2023-01-19,609286,666177
2023789,YEN,129,2023-01-20,666177,734320
2023789,YEN,129,2023-01-21,734320,759664
2023789,YEN,129,2023-01-22,759664,833400
2023789,YEN,129,2023-01-23,833400,857134
2025271,RUB,52,2023-01-14,0,59933
2025271,RUB,52,2023-01-15,59933,134036
2025271,RUB,52,2023-01-16,134036,135107
2025271,RUB,52,2023-01-17,135107,162982
2025271,RUB,52,2023-01-18,162982,182284
2025271,RUB,52,2023-01-19,182284,196491
2025271,RUB,52,2023-01-20,196491,238127
2025271,RUB,52,2023-01-21,238127,306217
2025271,RUB,52,2023-01-22,306217,323031
2025271,RUB,52,2023-01-23,323031,385084
2025271,RUB,52,2023-01-24,385084,408016
2025271,RUB,52,2023-01-25,408016,472726
2025271,RUB,52,2023-01-26,472726,523333
2025271,RUB,52,2023-01-27,523333,594766
2025271,RUB,52,2023-01-28,594766,656292
2025271,RUB,52,2023-01-29,656292,724016
2025271,RUB,52,2023-01-30,724016,786980
2025271,RUB,52,2023-01-31,786980,807573
2025624,KZT,12,2023-01-19,0,4879
2025624,KZT,12,2023-01-20,4879,16989
2025624,KZT,12,2023-01-21,16989,63743
2025624,KZT,12,2023-01-22,63743,126112
2025624,KZT,12,2023-01-23,126112,187025
2025624,KZT,12,2023-01-24,187025,234425
2025624,KZT,12,2023-01-25,234425,300992
2025624,KZT,12,2023-01-26,300992,364642
2025624,KZT,12,2023-01-27,364642,375884
2025624,KZT,12,2023-01-28,375884,388437
2025624,KZT,12,2023-01-29,388437,419266
2025624,KZT,12,2023-01-30,419266,429001
2025624,KZT,12,2023-01-31,429001,458382
2025624,KZT,12,2023-02-01,458382,497721
2025624,KZT,12,2023-02-02,497721,521114
2025624,KZT,12,2023-02-03,521114,577660
2025624,KZT,12,2023-02-04,577660,613721
2025624,KZT,12,2023-02-05,613721,669844
2025999,YEN,13,2023-01-28,0,42833
2025999,YEN,13,2023-01-29,42833,53941
2025999,YEN,13,2023-01-30,53941,65902
2025999,YEN,13,2023-01-31,65902,129347
2025999,YEN,13,2023-02-01,129347,144525
2025999,YEN,13,2023-02-02,144525,193000
2025999,YEN,13,2023-02-03,193000,248175
2025999,YEN,13,2023-02-04,248175,268778
2025999,YEN,13,2023-02-05,268778,341523
2025999,YEN,13,2023-02-06,341523,377154
2025999,YEN,13,2023-02-07,377154,401322
2025999,YEN,13,2023-02-08,401322,423385
2028374,RUB,51,2023-01-13,0,14988
2028374,RUB,51,2023-01-14,14988,28208
2028374,RUB,51,2023-01-15,28208,88959
2028374,RUB,51,2023-01-16,88959,151953
2028374,RUB,51,2023-01-17,151953,207481
2028374,RUB,51,2023-01-18,207481,256688
2028374,RUB,51,2023-01-19,256688,301429
2028374,RUB,51,2023-01-20,301429,353537
2028374,RUB,51,2023-01-21,353537,380905
2028877,RUB,23,2023-01-12,0,34833
2028877,RUB,23,2023-01-13,34833,85684
2028877,RUB,23,2023-01-14,85684,112535
2028877,RUB,23,2023-01-15,112535,167592
2028877,RUB,23,2023-01-16,167592,200552
2028877,RUB,23,2023-01-17,200552,261563
2029219,YEN,116,2023-01-09,0,1905
2029219,YEN,116,2023-01-10,1905,68162
2029219,YEN,116,2023-01-11,68162,114602
2029219,YEN,116,2023-01-12,114602,125098
2029219,YEN,116,2023-01-13,125098,143068
2029219,YEN,116,2023-01-14,143068,178545
2029219,YEN,116,2023-01-15,178545,201348
2029219,YEN,116,2023-01-16,201348,272104
2029219,YEN,116,2023-01-17,272104,286002
2029219,YEN,116,2023-01-18,286002,350394
2029219,YEN,116,2023-01-19,350394,402550
2029219,YEN,116,2023-01-20,402550,466160
2029219,YEN,116,2023-01-21,466160,474942
2029219,YEN,116,2023-01-22,474942,504689
2029219,YEN,116,2023-01-23,504689,530468
2029219,YEN,116,2023-01-24,530468,530846
2029219,YEN,116,2023-01-25,530846,587691
2029219,YEN,116,2023-01-26,587691,601937
2030936,RUB,85,2023-01-07,0,4211
2030936,RUB,85,2023-01-08,4211,13641
2030936,RUB,85,2023-01-09,13641,65468
2030936,RUB,85,2023-01-10,65468,108461
2030936,RUB,85,2023-01-11,108461,161288
2030936,RUB,85,2023-01-12,161288,195779
2030936,RUB,85,2023-01-13,195779,239034
2030936,RUB,85,2023-01-14,239034,293750
2030936,RUB,85,2023-01-15,293750,349088
2031009,RUB,24,2023-01-16,0,46482
2031009,RUB,24,2023-01-17,46482,109293
2031009,RUB,24,2023-01-18,109293,176560
2031009,RUB,24,2023-01-19,176560,240944
2031009,RUB,24,2023-01-20,240944,298495
2031009,RUB,24,2023-01-21,298495,315946
2031009,RUB,24,2023-01-22,315946,328916
2031009,RUB,24,2023-01-23,328916,384501
2031009,RUB,24,2023-01-24,384501,441089
2031009,RUB,24,2023-01-25,441089,446246
2031009,RUB,24,2023-01-26,446246,473552
2031009,RUB,24,2023-01-27,473552,482738
2031252,RUB,87,2023-01-14,0,896
2031252,RUB,87,2023-01-15,896,3741
2031252,RUB,87,2023-01-16,3741,19299
2031339,RUB,125,2023-01-13,0,31713
2031339,RUB,125,2023-01-14,31713,46891
2031339,RUB,125,2023-01-15,46891,60602
2031339,RUB,125,2023-01-16,60602,65846
2031339,RUB,125,2023-01-17,65846,108131
2031339,RUB,125,2023-01-18,108131,141601
2031738,USD,108,2023-01-08,0,43397
2031738,USD,108,2023-01-09,43397,78827
2031738,USD,108,2023-01-10,78827,88537
2031738,USD,108,2023-01-11,88537,123966
2031738,USD,108,2023-01-12,123966,128963
2031738,USD,108,2023-01-13,128963,149881
2031738,USD,108,2023-01-14,149881,213594
2031738,USD,108,2023-01-15,213594,243703
2031738,USD,108,2023-01-16,243703,259844
2031738,USD,108,2023-01-17,259844,260455
2031738,USD,108,2023-01-18,260455,315812
2031738,USD,108,2023-01-19,315812,359950
2031738,USD,108,2023-01-20,359950,434323
2031738,USD,108,2023-01-21,434323,506692
2031738,USD,108,2023-01-22,506692,539716
2031738,USD,108,2023-01-23,539716,601619
2031738,USD,108,2023-01-24,601619,662452
2031738,USD,108,2023-01-25,662452,728616
2033302,EUR,39,2023-01-14,0,40777
2033302,EUR,39,2023-01-15,40777,69580
2033302,EUR,39,2023-01-16,69580,74196
2033302,EUR,39,2023-01-17,74196,92599
2033302,EUR,39,2023-01-18,92599,149307
2033302,EUR,39,2023-01-19,149307,155277
2033302,EUR,39,2023-01-20,155277,201418
2033302,EUR,39,2023-01-21,201418,251706
2033302,EUR,39,2023-01-22,251706,288697
2033302,EUR,39,2023-01-23,288697,316158
2033302,EUR,39,2023-01-24,316158,343917
2033302,EUR,39,2023-01-25,343917,386049
2033302,EUR,39,2023-01-26,386049,450702
2033302,EUR,39,2023-01-27,450702,494208
2033302,EUR,39,2023-01-28,494208,503926
2033302,EUR,39,2023-01-29,503926,560229
2033302,EUR,39,2023-01-30,560229,615180
2033302,EUR,39,2023-01-31,615180,632470
2033657,RUB,11,2023-01-12,0,35967
2033657,RUB,11,2023-01-13,35967,56620
2033657,RUB,11,2023-01-14,56620,103075
2035454,RUB,108,2023-01-15,0,66638
2035454,RUB,108,2023-01-16,66638,95290
2035454,RUB,108,2023-01-17,95290,161608
2035454,RUB,108,2023-01-18,161608,214646
2035454,RUB,108,2023-01-19,214646,257489
2035454,RUB,108,2023-01-20,257489,276693
2035454,RUB,108,2023-01-21,276693,347460
2035454,RUB,108,2023-01-22,347460,363121
2035454,RUB,108,2023-01-23,363121,428087
2035685,YEN,111,2023-01-24,0,39725
2035685,YEN,111,2023-01-25,39725,46939
2035685,YEN,111,2023-01-26,46939,50091
2035685,YEN,111,2023-01-27,50091,53041
2035685,YEN,111,2023-01-28,53041,107128
2035685,YEN,111,2023-01-29,107128,121144
2036545,EUR,35,2023-01-06,0,59091
2036545,EUR,35,2023-01-07,59091,101432
2036545,EUR,35,2023-01-08,101432,168188
2036545,EUR,35,2023-01-09,168188,231764
2036545,EUR,35,2023-01-10,231764,235263
2036545,EUR,35,2023-01-11,235263,247146
2036545,EUR,35,2023-01-12,247146,263933
2036545,EUR,35,2023-01-13,263933,306266
2036545,EUR,35,2023-01-14,306266,360948
2038987,EUR,47,2023-01-24,0,12933
2038987,EUR,47,2023-01-25,12933,81603
2038987,EUR,47,2023-01-26,81603,143857
2038987,EUR,47,2023-01-27,143857,198667
2038987,EUR,47,2023-01-28,198667,211629
2038987,EUR,47,2023-01-29,211629,233765
2038987,EUR,47,2023-01-30,233765,262727
2038987,EUR,47,2023-01-31,262727,330539
2038987,EUR,47,2023-02-01,330539,405161
2038987,EUR,47,2023-02-02,405161,408998
2038987,EUR,47,2023-02-03,408998,441680
2038987,EUR,47,2023-02-04,441680,481884
2038987,EUR,47,2023-02-05,481884,516922
2038987,EUR,47,2023-02-06,516922,544363
2038987,EUR,47,2023-02-07,544363,590477
2040826,RUB,38,2023-01-16,0,66704
2040826,RUB,38,2023-01-17,66704,107157
2040826,RUB,38,2023-01-18,107157,139247
2041129,KZT,96,2023-01-13,0,47319
2041129,KZT,96,2023-01-14,47319,121608
2041129,KZT,96,2023-01-15,121608,131576
2041129,KZT,96,2023-01-16,131576,143202
2041129,KZT,96,2023-01-17,143202,203687
2041129,KZT,96,2023-01-18,203687,270605
2041129,KZT,96,2023-01-19,270605,332801
2041129,KZT,96,2023-01-20,332801,357132
2041129,KZT,96,2023-01-21,357132,426712
2041129,KZT,96,2023-01-22,426712,499028
2041129,KZT,96,2023-01-23,499028,525959
2041129,KZT,96,2023-01-24,525959,573337
2041444,RUB,65,2023-01-11,0,26233
2041444,RUB,65,2023-01-12,26233,76121
2041444,RUB,65,2023-01-13,76121,128404
2041444,RUB,65,2023-01-14,128404,174350
2041444,RUB,65,2023-01-15,174350,182946
2041444,RUB,65,2023-01-16,182946,201222
2041444,RUB,65,2023-01-17,201222,230334
2041444,RUB,65,2023-01-18,230334,292754
2041444,RUB,65,2023-01-19,292754,313025
2041444,RUB,65,2023-01-20,313025,330767
2041444,RUB,65,2023-01-21,330767,344298
2041444,RUB,65,2023-01-22,344298,412988
2041444,RUB,65,2023-01-23,412988,466972
2041444,RUB,65,2023-01-24,466972,488456
2041444,RUB,65,2023-01-25,488456,490407
2041682,EUR,44,2023-01-06,0,54193
2041682,EUR,44,2023-01-07,54193,76853
2041682,EUR,44,2023-01-08,76853,112679
2041682,EUR,44,2023-01-09,112679,165616
2041682,EUR,44,2023-01-10,165616,194932
2041682,EUR,44,2023-01-11,194932,252152
2041682,EUR,44,2023-01-12,252152,294423
2041682,EUR,44,2023-01-13,294423,312567
2041682,EUR,44,2023-01-14,312567,382920
2042200,USD,62,2023-01-07,0,64914
2042200,USD,62,2023-01-08,64914,106835
2042200,USD,62,2023-01-09,106835,119650
2043895,RUB,116,2023-01-14,0,47342
2043895,RUB,116,2023-01-15,47342,97369
2043895,RUB,116,2023-01-16,97369,103718
2043895,RUB,116,2023-01-17,103718,163516
2043895,RUB,116,2023-01-18,163516,208784
2043895,RUB,116,2023-01-19,208784,266152
2043895,RUB,116,2023-01-20,266152,306402
2043895,RUB,116,2023-01-21,306402,345103
2043895,RUB,116,2023-01-22,345103,400942
2043895,RUB,116,2023-01-23,400942,425678
2043895,RUB,116,2023-01-24,425678,435612
2043895,RUB,116,2023-01-25,435612,440361
2043895,RUB,116,2023-01-26,440361,501749
2043895,RUB,116,2023-01-27,501749,507986
2043895,RUB,116,2023-01-28,507986,515719
2043895,RUB,116,2023-01-29,515719,539454
2043895,RUB,116,2023-01-30,539454,555940
2043895,RUB,116,2023-01-31,555940,566966
2044243,YEN,42,2023-01-26,0,22929
2044243,YEN,42,2023-01-27,22929,70883
2044243,YEN,42,2023-01-28,70883,100837
2044243,YEN,42,2023-01-29,100837,126346
2044243,YEN,42,2023-01-30,126346,182635
2044243,YEN,42,2023-01-31,182635,239587
2044243,YEN,42,2023-02-01,239587,260963
2044243,YEN,42,2023-02-02,260963,324762
2044243,YEN,42,2023-02-03,324762,367857
2044243,YEN,42,2023-02-04,367857,437451
2044243,YEN,42,2023-02-05,437451,466382
2044243,YEN,42,2023-02-06,466382,499832
2044243,YEN,42,2023-02-07,499832,519238
2044243,YEN,42,2023-02-08,519238,527592
2044243,YEN,42,2023-02-09,527592,538851
2046359,RUB,102,2023-01-14,0,42854
2046359,RUB,102,2023-01-15,42854,99347
2046359,RUB,102,2023-01-16,99347,144249
